ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20792	9311	30490	6799	1.23791e-04	4.87454e-05	-286723.358	-286485.591
20656	8746	30858	7520	1.19394e-04	6.24996e-05	-286723.859	-286485.591
20856	8629	32528	6063	1.08965e-04	5.91712e-05	-286724.909	-286485.591
20792	8618	31884	7220	1.09778e-04	6.40376e-05	-286724.953	-286485.591
20280	8850	32003	7167	1.13863e-04	6.16104e-05	-286725.379	-286485.591
20902	8787	34137	6170	1.19079e-04	4.99707e-05	-286725.601	-286485.591
20856	8929	30888	7157	1.22959e-04	5.54465e-05	-286728.131	-286485.591
21091	9061	31507	6940	1.29837e-04	5.32036e-05	-286728.141	-286485.591
21124	8854	34144	5932	1.14197e-04	5.01050e-05	-286728.575	-286485.591
20710	9537	32594	6461	1.24933e-04	4.16139e-05	-286731.609	-286485.591
