	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0967121	0.038756	0.0205106	0.0116934	0.00692713	0.00425964	0.00249488	0.00150815	0.000778987	0.000404861
d1_1	0.27778	0.0244877	0.0153995	0.0109663	0.00816255	0.00598208	0.00449761	0.00317747	0.00216451	0.00144079	0.000890259
d1_2	0.0799405	0.0149042	0.0102142	0.00827682	0.00666288	0.00546702	0.00445467	0.00341544	0.00266527	0.00203424	0.00151243
d1_3	0.0323655	0.00985485	0.0074515	0.00634111	0.00558346	0.00480723	0.00424784	0.00363989	0.00293605	0.00253357	0.00223585
d1_4	0.0152631	0.00678595	0.00561975	0.00516486	0.00473468	0.00432429	0.0039555	0.00356357	0.00326151	0.00296092	0.00314244
d1_5	0.00787629	0.00456201	0.00417237	0.00397259	0.00393111	0.00380244	0.00374761	0.00363684	0.00356446	0.00340774	0.00440512
d1_6	0.00395941	0.00288281	0.00288783	0.00295309	0.00308533	0.00321072	0.00335766	0.00338175	0.00335178	0.00373082	0.00568907
d1_7	0.00200477	0.00177073	0.00183128	0.00215894	0.00230292	0.00249648	0.00281214	0.00295539	0.00326526	0.00381292	0.00738525
d1_8	0.000933537	0.000980992	0.00113505	0.0013486	0.00163001	0.00197499	0.00216638	0.00254163	0.00292129	0.00366249	0.00974608
d1_9	0.000327304	0.000450408	0.000569955	0.000771439	0.000993348	0.00115956	0.00153997	0.00191515	0.00241193	0.00321993	0.0123203
d1_10	0.000104815	0.000136571	0.000223371	0.000291964	0.000443354	0.000556329	0.000771501	0.00114053	0.00150851	0.00242155	0
