ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18945	9071	32315	6680	1.21833e-04	5.01578e-05	-271780.850	-271578.466
19266	8894	33159	6199	1.14740e-04	4.78795e-05	-271780.938	-271578.466
19003	8297	33094	6169	1.07617e-04	6.23561e-05	-271781.909	-271578.466
18895	9178	31544	6937	1.21001e-04	4.67310e-05	-271782.861	-271578.466
18853	9003	32405	6614	1.23247e-04	5.23237e-05	-271783.000	-271578.466
18821	8375	34462	6021	1.08383e-04	5.67731e-05	-271783.017	-271578.466
19044	8090	36214	5739	1.07451e-04	6.53066e-05	-271785.817	-271578.466
19233	9052	34746	6006	1.17274e-04	4.45034e-05	-271786.828	-271578.466
18938	7713	33566	6326	1.05350e-04	7.75248e-05	-271787.442	-271578.466
18665	7807	33983	6354	1.08444e-04	8.17640e-05	-271788.660	-271578.466
