	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100827	0.0395128	0.020057	0.0112719	0.00663891	0.00389173	0.00216184	0.00121316	0.000645566	0.000316943
d1_1	0.270275	0.0259622	0.016156	0.0114639	0.00835816	0.00608376	0.0044057	0.00301705	0.00203607	0.00136862	0.000736837
d1_2	0.0808818	0.015232	0.0106806	0.00841359	0.00682297	0.00552867	0.00434454	0.00351301	0.00261268	0.00194543	0.00136028
d1_3	0.0331163	0.0101401	0.00755841	0.00654969	0.00566269	0.00479158	0.00436037	0.00364971	0.00308904	0.00254888	0.00207671
d1_4	0.0154591	0.00661733	0.0054747	0.0052203	0.00471802	0.00448637	0.004096	0.00364163	0.00329096	0.00299169	0.00310415
d1_5	0.00768101	0.00433136	0.00402658	0.00398197	0.0040704	0.00373032	0.00387723	0.00360136	0.00348432	0.00331934	0.00423196
d1_6	0.00381813	0.00282741	0.00280788	0.00290934	0.00309727	0.00327337	0.00324974	0.00342476	0.00337049	0.00366934	0.00571695
d1_7	0.00181674	0.00172529	0.00188329	0.00211274	0.00235504	0.0024509	0.00277073	0.00299777	0.00320177	0.00395601	0.00752179
d1_8	0.000820092	0.000920129	0.00108106	0.00137647	0.00156941	0.00190676	0.00218456	0.00257934	0.00297118	0.0037877	0.00973133
d1_9	0.000309895	0.000444633	0.000573764	0.000752341	0.000965631	0.00126039	0.00154476	0.00189391	0.00245635	0.00339202	0.0123473
d1_10	8.1992e-05	0.000101458	0.000173511	0.00023539	0.000430621	0.00060834	0.000766355	0.00110821	0.0015484	0.00240466	0
