ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18971	7571	31554	7939	1.08023e-04	9.08590e-05	-275539.113	-275382.871
19533	7532	32938	7048	1.10423e-04	8.64459e-05	-275539.800	-275382.871
19189	7112	33392	6532	1.04157e-04	9.50431e-05	-275540.056	-275382.871
19409	8081	33880	6820	1.10389e-04	7.26862e-05	-275540.508	-275382.871
19457	7681	31480	7527	1.08456e-04	8.50855e-05	-275540.709	-275382.871
19064	6768	35093	7127	1.03982e-04	1.08419e-04	-275541.546	-275382.871
18924	6910	34407	7014	9.98358e-05	1.02734e-04	-275542.467	-275382.871
19003	7070	34096	6907	9.43086e-05	1.01753e-04	-275542.953	-275382.871
19570	8548	29718	8480	1.25467e-04	6.50675e-05	-275547.237	-275382.871
19054	8660	30777	7630	1.18043e-04	6.79028e-05	-275547.727	-275382.871
