	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0957186	0.0386263	0.0200479	0.0114011	0.00685754	0.00419692	0.00248992	0.00137386	0.000805411	0.000363529
d1_1	0.271494	0.0260696	0.0160472	0.0111061	0.00809998	0.00608309	0.00449033	0.00324138	0.00215605	0.00146912	0.000899646
d1_2	0.0826935	0.0154787	0.0105391	0.00805523	0.00658434	0.00543655	0.00431736	0.00347893	0.0026384	0.00205425	0.00150488
d1_3	0.034121	0.010301	0.00768613	0.00647687	0.00565996	0.00493865	0.00433508	0.00360981	0.00307475	0.0025541	0.00229601
d1_4	0.0158783	0.00678552	0.00551258	0.00489432	0.00462573	0.00430702	0.00414633	0.00366285	0.00339075	0.00309002	0.00334936
d1_5	0.0079838	0.00451778	0.00401323	0.00385778	0.00380518	0.00379872	0.00366619	0.00352869	0.00344453	0.00353205	0.00450714
d1_6	0.00400886	0.00288085	0.00287823	0.00293284	0.00305071	0.0031261	0.00317171	0.00322163	0.00337329	0.00369362	0.00587756
d1_7	0.00192503	0.00172226	0.0018472	0.00204509	0.00233197	0.00253709	0.0027626	0.00299439	0.0032956	0.00380488	0.00776384
d1_8	0.000885527	0.000939027	0.00106469	0.00125655	0.00148723	0.00180807	0.00207962	0.00243164	0.00298885	0.00368863	0.00984428
d1_9	0.00031929	0.000439705	0.000539149	0.000768631	0.000943466	0.00121087	0.00143485	0.00180072	0.00236332	0.00326009	0.0124574
d1_10	8.85868e-05	0.000133567	0.000188056	0.000298599	0.000414879	0.000582878	0.000785468	0.00110866	0.00160377	0.00236893	0
