ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18981	8896	34091	6531	1.12049e-04	5.41879e-05	-271780.661	-271578.466
19210	8706	32824	6351	1.15889e-04	5.62397e-05	-271780.889	-271578.466
19229	8325	35231	5529	1.00742e-04	5.81452e-05	-271782.025	-271578.466
19139	9070	30588	6891	1.23006e-04	5.12575e-05	-271782.384	-271578.466
19112	8952	34227	5773	1.15950e-04	4.59878e-05	-271783.470	-271578.466
18901	9261	31403	6398	1.19837e-04	4.26503e-05	-271783.502	-271578.466
18972	8879	32517	6249	1.15087e-04	5.39090e-05	-271783.628	-271578.466
19033	9501	31098	6753	1.20945e-04	4.26194e-05	-271784.914	-271578.466
18986	8294	35453	5500	9.76852e-05	6.22131e-05	-271786.167	-271578.466
18685	8680	33181	7039	1.24463e-04	5.70215e-05	-271786.252	-271578.466
