	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.105124	0.0405448	0.0201798	0.0111049	0.00637424	0.00368888	0.00211101	0.0011142	0.000604581	0.000268514
d1_1	0.265353	0.0238916	0.0159269	0.0115719	0.00835637	0.00626371	0.00429467	0.00302277	0.00200575	0.00128626	0.000793836
d1_2	0.0830712	0.0137763	0.0101505	0.00825541	0.00691916	0.00570783	0.00446764	0.00337224	0.0026258	0.00194418	0.00145177
d1_3	0.0350721	0.00898926	0.0071984	0.00641194	0.00560783	0.00519943	0.0044634	0.00364853	0.00303521	0.00235805	0.00216521
d1_4	0.0164713	0.00608188	0.00537862	0.00528075	0.00478344	0.00455319	0.00417267	0.00365006	0.00333519	0.00286096	0.00330909
d1_5	0.00824873	0.00408474	0.00400109	0.00389083	0.00382843	0.00388013	0.00361409	0.00358408	0.003422	0.00326782	0.00453796
d1_6	0.00410925	0.00264301	0.00280344	0.00281254	0.00320147	0.00330366	0.00330574	0.00349886	0.00331928	0.00346768	0.00597001
d1_7	0.00196356	0.00158996	0.00186146	0.00199458	0.00242323	0.00263119	0.00273736	0.00299825	0.00314706	0.00358519	0.00792991
d1_8	0.000897088	0.000870704	0.00109376	0.00126078	0.0015872	0.00191929	0.00217328	0.0025168	0.00288334	0.00354368	0.0101542
d1_9	0.000364156	0.000427198	0.0005427	0.000750067	0.000951548	0.00125838	0.00152143	0.00200736	0.00239301	0.00314541	0.0127915
d1_10	6.53595e-05	0.000123796	0.000181227	0.000300118	0.000407833	0.000585308	0.000818006	0.00115015	0.00161562	0.00239241	0
