ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20542	7655	37681	4728	6.75740e-05	9.69880e-05	-285093.229	-284836.606
20352	7795	34672	5318	7.38780e-05	9.84793e-05	-285093.746	-284836.606
20112	7783	36103	5241	7.28652e-05	1.02056e-04	-285097.795	-284836.606
21117	7737	37793	4171	6.19538e-05	8.50060e-05	-285099.351	-284836.606
20705	8380	39596	4443	6.74753e-05	7.04875e-05	-285099.686	-284836.606
20390	9181	34709	4958	8.57514e-05	6.08324e-05	-285100.396	-284836.606
20609	9000	33655	5135	9.01572e-05	6.24434e-05	-285101.044	-284836.606
20409	8642	35613	4567	8.17240e-05	6.41004e-05	-285101.850	-284836.606
20377	8835	32325	5496	9.22661e-05	6.95906e-05	-285101.997	-284836.606
21196	5010	50600	3774	1.98196e-05	2.21209e-04	-285150.124	-284836.606
