	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.106123	0.0420439	0.0218813	0.0123429	0.00715732	0.00424256	0.00242545	0.00130493	0.000699199	0.000285966
d1_1	0.254915	0.0243073	0.0157023	0.011527	0.00861964	0.006213	0.00448751	0.00305502	0.00204955	0.0012147	0.000708798
d1_2	0.0772386	0.014741	0.0105916	0.00851077	0.00711795	0.00577873	0.00453575	0.00339679	0.00251732	0.00178129	0.00117533
d1_3	0.0325109	0.00999795	0.00813323	0.00698799	0.0060385	0.00526649	0.00456353	0.00359343	0.00291536	0.00222248	0.00187026
d1_4	0.0152507	0.00680273	0.00603131	0.00553805	0.00509207	0.00471964	0.00425874	0.00370567	0.00332135	0.00269762	0.00273421
d1_5	0.00799672	0.00459269	0.00427639	0.00431561	0.00432648	0.00416905	0.00398032	0.00370265	0.00328147	0.00314152	0.00387127
d1_6	0.00402077	0.00297634	0.0031392	0.00321747	0.0034563	0.00356676	0.00353496	0.00352019	0.00355781	0.00350061	0.00504753
d1_7	0.00201049	0.00184412	0.00205971	0.00232785	0.00272229	0.00287324	0.00308237	0.00331543	0.00347003	0.00373463	0.00687846
d1_8	0.000879771	0.00101594	0.00127665	0.00155504	0.00189214	0.00225203	0.00247918	0.00273023	0.00306726	0.00371332	0.00893529
d1_9	0.000357323	0.000468665	0.00069005	0.000905225	0.00115025	0.00144477	0.00183523	0.00220801	0.00254209	0.00339831	0.0114712
d1_10	8.55228e-05	0.000172513	0.000249511	0.00038856	0.000538631	0.000739572	0.00104495	0.00143846	0.00180958	0.00281071	0
