ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
18955	7696	31189	8164	1.20402e-04	8.56547e-05	-275536.939	-275382.871
19256	7350	33931	6963	9.89628e-05	9.55947e-05	-275539.906	-275382.871
19167	7813	31403	7207	1.08315e-04	7.75507e-05	-275540.382	-275382.871
19427	7865	33056	7000	1.09932e-04	7.94623e-05	-275540.452	-275382.871
19172	8128	30214	7200	1.14203e-04	7.57946e-05	-275542.645	-275382.871
19132	8214	31809	7499	1.23651e-04	6.71461e-05	-275544.436	-275382.871
18983	6693	35499	6661	1.00911e-04	1.08181e-04	-275544.902	-275382.871
19447	8528	32775	6609	1.10058e-04	6.21572e-05	-275548.824	-275382.871
19077	8237	27931	8262	1.29077e-04	6.85336e-05	-275550.831	-275382.871
19179	9113	28743	8793	1.37302e-04	5.46435e-05	-275563.287	-275382.871
