	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0993467	0.0385601	0.0194388	0.0108109	0.00613245	0.00362212	0.00204518	0.00118645	0.000584573	0.000300575
d1_1	0.268576	0.025425	0.0159226	0.0113689	0.00818124	0.00606773	0.00437531	0.00298866	0.00203308	0.00122608	0.000717668
d1_2	0.0834633	0.0148187	0.0104957	0.00848289	0.00684479	0.00562748	0.00454368	0.00353737	0.00262992	0.00193412	0.0015182
d1_3	0.0348022	0.00980621	0.00749116	0.00649689	0.00573029	0.00499498	0.00442574	0.00379512	0.00316105	0.00257981	0.00224103
d1_4	0.0161682	0.00645543	0.00568269	0.00508676	0.00477563	0.00435381	0.0041095	0.00373435	0.00339684	0.00299755	0.00335586
d1_5	0.00806098	0.00424959	0.00400641	0.00388128	0.00387043	0.00389383	0.00379344	0.00365444	0.00362243	0.00350051	0.00475041
d1_6	0.00388551	0.00263752	0.00275012	0.0028401	0.00300485	0.00315875	0.00331363	0.00344572	0.00349857	0.00374017	0.00624603
d1_7	0.0017955	0.00160377	0.00180695	0.00203452	0.00231473	0.00247504	0.00273717	0.00300639	0.00329974	0.00391447	0.008277
d1_8	0.000826989	0.00088058	0.00104654	0.00127932	0.00161278	0.00180862	0.00218954	0.00261086	0.00297642	0.00361214	0.0104928
d1_9	0.000263692	0.000339939	0.000531978	0.000653616	0.000932783	0.00115582	0.00143906	0.00179618	0.00228019	0.0032371	0.0133106
d1_10	7.95267e-05	0.000110444	0.000182227	0.000276008	0.000386266	0.000518286	0.000762571	0.000999029	0.00150704	0.00238387	0
