ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
19240	7955	31402	7592	1.18799e-04	7.91971e-05	-275539.601	-275382.871
18802	8012	29321	9198	1.21550e-04	8.04025e-05	-275541.060	-275382.871
19337	7809	33345	6491	1.07579e-04	7.92006e-05	-275541.816	-275382.871
18707	6869	32433	7286	9.88362e-05	1.12332e-04	-275542.201	-275382.871
18726	7973	30193	7869	1.19301e-04	7.94124e-05	-275542.388	-275382.871
18932	8160	31283	7255	1.17046e-04	7.11955e-05	-275544.656	-275382.871
19616	8601	31570	7139	1.19899e-04	6.31657e-05	-275544.663	-275382.871
19124	8252	29533	8196	1.17979e-04	6.85977e-05	-275544.783	-275382.871
18812	8407	30085	8058	1.15846e-04	7.29633e-05	-275545.616	-275382.871
18519	9204	29150	8807	1.29807e-04	5.66448e-05	-275561.249	-275382.871
