	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100659	0.0396157	0.0200203	0.0111029	0.00632131	0.00375002	0.00215898	0.00113169	0.000562775	0.000291214
d1_1	0.262066	0.0265131	0.0165025	0.0116076	0.00856023	0.00591597	0.00436561	0.00306935	0.00202412	0.00125614	0.000794199
d1_2	0.0845401	0.0158416	0.0108077	0.00845231	0.0069781	0.00555526	0.00431171	0.00349471	0.00259449	0.00185186	0.0013951
d1_3	0.0353785	0.0102483	0.00764691	0.00646391	0.00555674	0.00480008	0.00430127	0.0036364	0.00294719	0.00253903	0.00229813
d1_4	0.0168663	0.00680677	0.00559337	0.00503455	0.00460334	0.00440892	0.00403258	0.00367298	0.00333488	0.00311513	0.00329584
d1_5	0.00811187	0.00450061	0.00393327	0.00387539	0.00379882	0.00375359	0.00362967	0.00367749	0.00347575	0.00358249	0.00457447
d1_6	0.00395625	0.00280833	0.00268385	0.00280625	0.00289329	0.00319732	0.00317712	0.00327535	0.00342654	0.00374867	0.00618261
d1_7	0.00187783	0.00160232	0.00165567	0.00196429	0.00221731	0.00232936	0.00260187	0.00291524	0.00327643	0.00393501	0.00797695
d1_8	0.000783407	0.000798469	0.000997234	0.00129063	0.00139042	0.00172545	0.00217726	0.0024402	0.00293267	0.0036974	0.0102146
d1_9	0.000289892	0.000369768	0.000532712	0.000702133	0.00090576	0.0010906	0.00147074	0.00187348	0.00239239	0.00330601	0.0129438
d1_10	7.06318e-05	8.96115e-05	0.000161604	0.000236128	0.000394773	0.000537951	0.000728369	0.00113374	0.00165777	0.00255018	0
