ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20038	8233	34680	7088	1.08842e-04	6.68903e-05	-285491.444	-285287.679
20105	8332	33795	6844	1.08610e-04	6.74645e-05	-285492.617	-285287.679
20314	8564	32609	7311	1.16914e-04	6.28730e-05	-285494.282	-285287.679
20200	9057	33064	7498	1.19230e-04	5.49878e-05	-285496.230	-285287.679
19897	8891	33830	6950	1.13055e-04	5.78338e-05	-285496.352	-285287.679
20244	8949	33589	6760	1.15946e-04	5.44816e-05	-285496.804	-285287.679
19940	9218	32649	7695	1.16839e-04	5.24155e-05	-285497.335	-285287.679
19933	8816	30091	8372	1.20587e-04	6.37377e-05	-285497.828	-285287.679
20578	7365	38440	6098	9.99287e-05	8.82998e-05	-285501.228	-285287.679
20450	4817	59410	4221	4.55252e-05	1.92630e-04	-285620.083	-285287.679
