	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101527	0.0392322	0.0197034	0.0108774	0.00630627	0.00363882	0.00202105	0.00112226	0.000610864	0.000299573
d1_1	0.264362	0.0239012	0.0158483	0.0112288	0.00845238	0.00628532	0.00437632	0.0030446	0.00205197	0.00123687	0.000803108
d1_2	0.0832793	0.0140432	0.01046	0.00824575	0.00703053	0.00551598	0.00446098	0.00346492	0.00265486	0.00194922	0.00145868
d1_3	0.0354345	0.00938205	0.00755855	0.00653395	0.00589025	0.00520905	0.00440981	0.00378687	0.00304151	0.00246423	0.00236597
d1_4	0.0168726	0.0063503	0.00555378	0.0050347	0.00484504	0.00464632	0.00420289	0.0036575	0.00332466	0.00308198	0.00343077
d1_5	0.008313	0.00416308	0.00403313	0.0038939	0.00384073	0.0039085	0.00374397	0.00364178	0.00359402	0.00338523	0.00479629
d1_6	0.00418771	0.00279297	0.00269341	0.00284349	0.00307268	0.00336253	0.00339917	0.00333082	0.00353501	0.00366543	0.00639792
d1_7	0.00198491	0.0015558	0.00176814	0.00210744	0.00235824	0.00258907	0.00286464	0.00309953	0.00340168	0.00377964	0.00837596
d1_8	0.000868809	0.00089192	0.00109742	0.001281	0.0015955	0.00183559	0.00225884	0.00252434	0.00302483	0.0035757	0.0104625
d1_9	0.000324463	0.000367623	0.000540197	0.000752095	0.000939337	0.00126189	0.00151421	0.00179908	0.00239765	0.00313692	0.0129249
d1_10	7.69603e-05	0.000109145	0.000172653	0.000264357	0.000406117	0.000539273	0.000814776	0.00114192	0.00155057	0.00250005	0
