	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.100061	0.0392675	0.0195607	0.0109739	0.0062071	0.00368604	0.00211601	0.00115152	0.000605607	0.000278638
d1_1	0.264213	0.0257436	0.0162689	0.0115274	0.00848965	0.00605847	0.0042961	0.00296784	0.00201494	0.00128494	0.000799625
d1_2	0.0824327	0.0152998	0.0106147	0.00848013	0.0069922	0.00572657	0.00453034	0.00348953	0.00262996	0.00199048	0.0013934
d1_3	0.0341215	0.00988184	0.00782177	0.00653919	0.00579667	0.00520541	0.00439127	0.0036335	0.00311063	0.00246528	0.0022643
d1_4	0.0162044	0.00666001	0.00561551	0.00504116	0.00493246	0.00460017	0.00427245	0.00373286	0.00329663	0.00298905	0.00318946
d1_5	0.00798801	0.00433168	0.00405769	0.00399177	0.00396362	0.00390978	0.00374945	0.00370735	0.0035647	0.00345398	0.00450905
d1_6	0.00391029	0.00273508	0.00277423	0.00297805	0.00316113	0.00340235	0.00349259	0.0033199	0.00351493	0.00382389	0.00612031
d1_7	0.0019121	0.00163811	0.00183614	0.00197523	0.00237042	0.00266338	0.00279369	0.00305636	0.00338848	0.00386565	0.00780998
d1_8	0.000853606	0.000926338	0.00109008	0.00131786	0.00163765	0.00192398	0.00223405	0.00253642	0.00299078	0.00391382	0.0103185
d1_9	0.000330199	0.000369112	0.00052645	0.000677786	0.00088454	0.00123062	0.00150011	0.00188396	0.00249585	0.00335405	0.012814
d1_10	6.415e-05	0.000105777	0.00017471	0.000273528	0.000391253	0.000518113	0.000783048	0.00106506	0.00165455	0.00247254	0
