ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20547	8399	33237	6795	1.12806e-04	6.57210e-05	-286722.297	-286485.591
20723	8789	33090	6193	1.17590e-04	5.41690e-05	-286723.936	-286485.591
20942	8573	29912	7894	1.18671e-04	6.62779e-05	-286724.544	-286485.591
20654	8843	30069	7610	1.15181e-04	6.30434e-05	-286725.825	-286485.591
20419	9325	32627	6853	1.17794e-04	4.80260e-05	-286729.581	-286485.591
20331	9468	31084	7988	1.23189e-04	5.30932e-05	-286730.086	-286485.591
20738	9240	32347	6827	1.22813e-04	4.87274e-05	-286730.372	-286485.591
20764	9212	31113	7152	1.21072e-04	5.18176e-05	-286730.896	-286485.591
21098	7983	38441	4892	1.00596e-04	5.64115e-05	-286748.831	-286485.591
20946	4236	50889	4996	6.47687e-05	2.35500e-04	-286856.109	-286485.591
