ANCSIZE	NPOP1	NPOP2	TDIV	MIG12	MIG21	MaxEstLhood	MaxObsLhood
20641	8880	33454	6434	1.13664e-04	5.72326e-05	-286723.533	-286485.591
20889	8643	31701	6750	1.21832e-04	6.06214e-05	-286724.380	-286485.591
20141	7661	31265	8375	1.09410e-04	8.96259e-05	-286725.275	-286485.591
20889	8826	31499	7802	1.26515e-04	5.51973e-05	-286727.356	-286485.591
20535	8956	30780	7929	1.23200e-04	6.25634e-05	-286727.570	-286485.591
20397	9210	32055	6656	1.19437e-04	5.24269e-05	-286728.662	-286485.591
20742	7747	34795	6524	1.01665e-04	7.93475e-05	-286729.011	-286485.591
20394	8666	29806	8822	1.21584e-04	6.68444e-05	-286729.767	-286485.591
20773	9905	28142	8205	1.41319e-04	3.87584e-05	-286739.881	-286485.591
20801	4658	41206	5860	6.87160e-05	2.10811e-04	-286810.650	-286485.591
