	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.0999468	0.0390651	0.019786	0.0109523	0.00647516	0.00370851	0.00216352	0.0011923	0.000616389	0.000261922
d1_1	0.262594	0.0245707	0.0160635	0.011683	0.00846531	0.00611676	0.00446037	0.0030353	0.00204488	0.0012684	0.000768647
d1_2	0.0814605	0.0145675	0.01053	0.00847425	0.00701963	0.005769	0.00452757	0.00361696	0.00259655	0.00187306	0.00143707
d1_3	0.0341069	0.0096613	0.00775832	0.00672189	0.00592316	0.0051489	0.00461726	0.00378999	0.00302621	0.00250734	0.00225501
d1_4	0.0163112	0.00654286	0.00570524	0.00545838	0.0048778	0.00460151	0.00423618	0.00384395	0.00337116	0.00301805	0.0033485
d1_5	0.00814979	0.0043382	0.00411514	0.00419787	0.0039443	0.00403653	0.00380154	0.00392765	0.00356696	0.00338177	0.00446545
d1_6	0.00410122	0.00283054	0.00276571	0.0031632	0.00324236	0.00332974	0.00338836	0.00356877	0.00357061	0.00373731	0.00618555
d1_7	0.00195612	0.00173021	0.00181923	0.00216843	0.00250621	0.0026767	0.00295191	0.00303783	0.00340602	0.00385723	0.00791812
d1_8	0.000874245	0.00087456	0.00109756	0.00142564	0.00164073	0.00200964	0.00228312	0.00253528	0.00304287	0.00374046	0.0101747
d1_9	0.000325724	0.000419861	0.000549879	0.000733535	0.000997881	0.00125838	0.00160043	0.0020126	0.00253776	0.00329036	0.0128577
d1_10	6.60537e-05	0.000133615	0.000182098	0.000304085	0.000405645	0.000685332	0.000817836	0.00120226	0.0016845	0.00245648	0
