	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10
d1_0	0	0.101086	0.038861	0.0195519	0.0106614	0.00621947	0.00359507	0.00199314	0.00111399	0.000545	0.000235122
d1_1	0.262042	0.0240461	0.0160713	0.0115721	0.00851954	0.00621541	0.00436492	0.00299465	0.00200814	0.00118886	0.000708022
d1_2	0.081946	0.014342	0.0105947	0.00858553	0.00712342	0.00582437	0.00458119	0.00362558	0.00246247	0.0018106	0.00138592
d1_3	0.0341555	0.00932266	0.00780829	0.00691762	0.00601802	0.00540667	0.00451572	0.00380689	0.00310848	0.00249726	0.00224346
d1_4	0.0162475	0.00648475	0.00565995	0.0052957	0.00510526	0.00470774	0.00433705	0.00400265	0.00336971	0.00298115	0.00330996
d1_5	0.00818557	0.00424011	0.0040252	0.00405739	0.00416332	0.00400441	0.00399829	0.00381344	0.00356397	0.00338038	0.00470017
d1_6	0.00399725	0.00274563	0.00280269	0.00317191	0.00329575	0.00340757	0.00362834	0.00348391	0.00353095	0.00375043	0.00609728
d1_7	0.00195948	0.00161546	0.00177392	0.00215067	0.00241255	0.00272945	0.00290477	0.0032639	0.00347059	0.00378718	0.00799526
d1_8	0.000820868	0.000843844	0.00100352	0.00144405	0.00169099	0.00200252	0.00234568	0.0025697	0.00307269	0.00380126	0.0105274
d1_9	0.000280357	0.000383082	0.000555591	0.000755545	0.000988238	0.00127399	0.00161764	0.00194595	0.00246845	0.00323335	0.0133306
d1_10	5.91861e-05	0.000110696	0.000209225	0.000275962	0.000421211	0.000616088	0.000839716	0.00117259	0.00161277	0.00244371	0
